id,mmsi,status,station,speed,lon,lat,course,heading,rot,timestamp,created_at,updated_at
866,247039300,1077,156,16.05507,42.19145,143,143,,0,1372700280,,
867,311040700,1078,153,35.38724,33.92426,270,270,,0,1372700220,,
868,247039300,1079,156,16.05928,42.18727,142,143,,0,1372700220,,
869,311040700,1080,154,35.38106,33.92433,270,270,,0,1372700640,,
871,311040700,1083,154,35.37539,33.92437,270,271,,0,1372700580,,
872,247039300,1084,155,16.06658,42.18008,142,143,,0,1372700160,,
873,311040700,1085,154,35.36923,33.92442,270,271,,0,1372700520,,
874,311040700,1086,154,35.35789,33.92452,270,271,,0,1372700520,,
875,247039300,1087,155,16.07858,42.1683,143,143,,0,1372700340,,
876,311040700,1088,154,35.35169,33.92459,270,271,,0,1372700340,,
877,311040700,1089,154,35.3455,33.92467,270,271,,0,1372700400,,
878,311040700,1091,154,35.33928,33.92473,270,271,,0,1372700460,,
879,247039300,1092,155,16.09095,42.15635,142,143,,0,1372700100,,
880,311040700,1093,154,35.3337,33.92479,270,271,,0,1372700220,,
881,247039300,1094,154,16.10657,42.14147,141,143,,0,1372700460,,
882,311040700,1096,155,35.30995,33.92505,270,271,,0,1372700460,,
883,311040700,1097,155,35.29803,33.92519,271,271,,0,1372700100,,
884,247039300,1098,154,16.11952,42.12923,141,143,,0,1372700580,,
885,311040700,1099,155,35.29225,33.92528,271,270,,0,1372700220,,
886,311040700,1100,156,35.28549,33.92537,271,271,,0,1372700280,,
887,247039300,1101,153,16.13157,42.1179,141,143,,0,1372700400,,
888,311040700,1102,156,35.2788,33.92546,270,271,,0,1372700520,,
889,311040700,1103,157,35.27296,33.92558,271,273,,0,1372700100,,
890,311040700,1104,157,35.2667,33.92623,280,281,,0,1372700400,,
891,311040700,1105,156,35.26108,33.92719,280,280,,0,1372700280,,
892,311040700,1106,156,35.25492,33.92815,281,281,,0,1372700280,,
893,311040700,1107,156,35.24932,33.92926,285,285,,0,1372700460,,
894,311040700,1108,156,35.24328,33.9305,283,283,,0,1372700220,,
895,247039300,1109,154,16.15992,42.09085,142,143,,0,1372700520,,
896,311040700,1110,156,35.23166,33.93281,283,284,,0,1372700220,,
897,247039300,1111,154,16.16798,42.08303,142,143,,0,1372700400,,
898,311040700,1112,155,35.2261,33.93394,283,283,,0,1372700340,,
899,247039300,1113,154,16.17188,42.07922,143,143,,0,1372700460,,
900,311040700,1114,154,35.22059,33.93507,284,284,,0,1372700340,,
901,247039300,1115,155,16.17565,42.07552,143,143,,0,1372700280,,
902,311040700,1116,154,35.20606,33.93813,284,283,,0,1372700160,,
904,311040700,1118,154,35.19305,33.94096,284,284,,0,1372700160,,
905,311040700,1119,154,35.18654,33.94242,285,284,,0,1372700580,,
906,247039300,1120,154,16.19893,42.05243,143,143,,0,1372700100,,
907,311040700,1121,154,35.18106,33.94364,285,284,,0,1372700640,,
908,311040700,1123,154,35.17555,33.9449,285,283,,0,1372700100,,
909,311040700,1124,154,35.16319,33.94776,285,284,,0,1372700220,,
910,311040700,1125,155,35.15762,33.94904,285,283,,0,1372700100,,
911,311040700,1126,155,35.14514,33.95197,285,283,,0,1372700580,,
913,247039300,1129,155,16.22867,42.01593,148,150,,0,1372700400,,
914,311040700,1130,155,35.12767,33.95603,286,284,,0,1372700580,,
915,247039300,1131,157,16.23255,42.01098,149,150,,0,1372700340,,
916,311040700,1132,155,35.12218,33.95734,286,284,,0,1372700400,,
917,247039300,1133,156,16.23582,42.00688,149,150,,0,1372700220,,
918,311040700,1134,156,35.11569,33.95891,286,284,,0,1372700340,,
919,247039300,1136,156,16.2396,42.00205,150,150,,0,1372700460,,
920,247039300,1138,156,16.24048,42.0009,149,150,,0,1372700520,,
921,247039300,1139,157,16.25505,41.98242,149,150,,0,1372700460,,
922,311040700,1140,155,35.08531,33.96627,286,284,,0,1372700220,,
923,247039300,1141,156,16.2584,41.97825,149,150,,0,1372700160,,
924,247039300,1142,158,16.26823,41.96582,149,150,,0,1372700100,,
925,247039300,1143,158,16.27147,41.96167,149,150,,0,1372700220,,
926,311040700,1144,156,35.05704,33.97341,287,284,,0,1372700580,,
928,311040700,1147,155,35.05119,33.97493,286,282,,0,1372700160,,
930,311040700,1149,155,35.03867,33.97804,286,282,,0,1372700220,,
931,247039300,1150,158,16.28852,41.9399,149,150,,0,1372700220,,
932,311040700,1151,155,35.03129,33.97983,286,283,,0,1372699860,,
933,247039300,1152,157,16.29208,41.93548,148,150,,0,1372700520,,
934,311040700,1153,155,35.02375,33.98168,286,283,,0,1372700100,,
935,311040700,1154,154,35.01778,33.98315,286,282,,0,1372700160,,
936,311040700,1155,154,35.01134,33.98473,286,283,,0,1372699920,,
937,247039300,1156,158,16.30618,41.9176,149,150,,0,1372700100,,
938,311040700,1158,153,34.99813,33.98794,286,283,,0,1372700160,,
939,247039300,1159,158,16.30977,41.91302,149,150,,0,1372700400,,
940,247039300,1160,159,16.31307,41.90883,149,150,,0,1372700580,,
941,311040700,1163,152,34.98439,33.99133,286,283,,0,1372700340,,
942,247039300,1164,159,16.31958,41.90048,149,150,,0,1372700220,,
943,311040700,1165,151,34.97761,33.993,286,282,,0,1372700520,,
944,247039300,1167,160,16.32288,41.89628,149,150,,0,1372700340,,
945,311040700,1168,151,34.97237,33.9943,286,283,,0,1372700040,,
946,247039300,1169,160,16.32622,41.892,149,150,,0,1372700460,,
947,311040700,1170,151,34.96754,33.99549,286,283,,0,1372700460,,
948,247039300,1171,160,16.33305,41.88317,150,150,,0,1372700220,,
949,311040700,1172,150,34.95744,33.99803,286,283,,0,1372700220,,
950,311040700,1173,149,34.95069,33.99973,286,282,,0,1372700220,,
951,247039300,1174,161,16.33997,41.8742,150,150,,0,1372700100,,
